lower_bound,upper_bound,correction
"	3.6786",2.5257,"	2999.0439"
"	4.9336",3.6787,"	3528.2147"
"	5.5317",4.9337,"	3786.7000"
"	6.4762",5.5318,"	1382.3399"
"	6.5366",6.4763,"	1781.7124"
"	8.329",6.5367,"	1304.7359"
"	8.8667",8.3291,"	1118.0419"
"	9.7701",8.8668,"	2018.7144"
"	9.776",9.7702,"	1025.2061"
"	10.3745",9.7761,"	1480.7968"
"	13.225",10.3746,"	1193.0069"
"	14.1293",13.2251,"	572.3602"
"	14.2684",14.1294,"	698.9678"
"	14.5703",14.2685,"	1451.1035"
"	14.7646",14.5704,"	705.9828"
"	15.4986",14.7647,"	1209.7951"
"	16.1967",15.4987,"	1140.9945"
"	16.3518",16.1968,"	523.7852"
"	17.4809",16.3519,"	586.4641"
"	17.8279",17.481,"	723.3834"
"	17.8418",17.828,"	449.2734"
"	17.8605",17.8419,"	422.0957"
"	18.4065",17.8606,"	465.0192"
"	18.4506",18.4066,"	1065.2750"
"	19.0682",18.4507,"	718.1156"
"	19.1406",19.0683,"	474.6945"
"	19.3561",19.1407,"	1522.2261"
"	19.4132",19.3562,"	379.0562"
"	19.8521",19.4133,"	766.5390"
"	20.8277",19.8522,"	2007.7672"
"	22.2185",20.8278,"	309.5694"
"	24.0165",22.2186,"	318.7002"
"	25.1333",24.0166,"	914.5895"
"	25.8256",25.1334,"	322.0617"
"	26.1446",25.8257,"	355.1604"
"	26.817",26.1447,"	862.0759"
"	26.9",26.8171,"	795.9101"
"	27.0479",26.9001,"	1049.8120"
"	27.1522",27.048,"	485.5872"
"	27.9668",27.1523,"	279.0207"
"	28.2589",27.9669,"	1248.2474"
"	28.4473",28.259,"	385.1080"
"	29.7924",28.4474,"	225.5864"
"	29.8541",29.7925,"	593.3730"
"	30.9221",29.8542,"	954.2627"
"	31.3352",30.9222,"	369.1216"
"	32.7766",31.3353,"	278.3190"
"	33.0219",32.7767,"	323.9609"
"	33.7443",33.022,"	655.6822"
"	34.3771",33.7444,"	851.2133"
"	35.5808",34.3772,"	532.3631"
"	35.7554",35.5809,"	168.8127"
"	35.8599",35.7555,"	229.0588"
"	35.8879",35.86,"	434.9986"
"	37.5686",35.888,"	450.9916"
"	37.7528",37.5687,"	170.1790"
"	37.7839",37.7529,"	627.8230"
"	38.0807",37.784,"	146.8445"
"	38.3233",38.0808,"	351.4229"
"	39.3664",38.3234,"	730.6570"
"	42.6222",39.3665,"	181.5434"
"	42.6337",42.6223,"	118.1371"
"	43.2198",42.6338,"	635.7742"
"	44.6874",43.2199,"	130.4902"
"	45.8182",44.6875,"	135.7143"
"	46.2572",45.8183,"	269.6722"
"	49.3051",46.2573,"	190.0308"
"	49.9841",49.3052,"	-42.9116"
"	50.8591",49.9842,"	145.0850"
